Well,Cycle,BLUE,GREEN,YELLOW,RED
D6,4,98421,38925,17837,7047
D7,4,91435,36084,16491,6441
D8,4,89227,35213,15996,6178
D9,4,91951,36447,16533,6345
D10,4,90519,35664,15878,5884
D11,4,89176,35512,16143,6488
D12,4,105234,42136,18943,6972
E1,4,37311,14994,7291,3316
E2,4,42165,17105,8472,3997
E3,4,93262,36738,16632,6335
E4,4,93634,36608,16477,6302
E5,4,97507,38465,17507,6796
E6,4,95448,37612,17120,6623
E7,4,98385,38403,17259,6536
E8,4,100433,39172,17422,6472
E9,4,86816,34690,15624,5778
E10,4,91485,36180,16317,6191
E11,4,86892,34501,15589,5915
E12,4,107882,42924,19341,7271
F1,4,37736,15435,7707,3709
F2,4,37291,15007,7317,3330
F3,4,84466,33318,15122,5862
F4,4,84879,33621,15371,5996
F5,4,89405,35310,16028,6093
F6,4,97205,38158,17159,6479
F7,4,93304,36516,16378,6144
F8,4,95509,37437,16782,6281
F9,4,97114,38098,16896,6084
F10,4,93602,37040,16649,6318
F11,4,82845,32891,14798,5618
F12,4,110433,43845,19619,7212
G1,4,40078,16162,7774,3482
G2,4,42176,17023,8243,3731
G3,4,81230,32365,14838,5770
G4,4,90409,35922,16570,6689
G5,4,91311,36202,16457,6305
G6,4,85387,34013,15766,6242
G7,4,91149,35873,16126,6082
G8,4,88577,34675,15603,5976
G9,4,90382,35734,16024,5890
G10,4,92146,36507,16432,6122
G11,4,94333,37361,16670,6126
G12,4,118910,48532,23192,9925
H1,4,44104,17892,8647,3915
H2,4,47870,19370,9348,4198
H3,4,104738,43716,21314,9444
H4,4,96578,39222,18103,7101
H5,4,97766,39288,17865,6698
H6,4,103211,41604,18790,7067
H7,4,103331,42736,20674,8736
H8,4,97587,38691,17295,6310
H9,4,97205,39367,17941,6752
H10,4,102350,41327,18948,7388
H11,4,86640,36284,16635,6423
H12,4,82790,33330,15088,5692
A1,5,39213,15735,7632,3519
A2,5,38151,15215,7287,3233
A3,5,76447,29828,13360,5014
A4,5,87023,34134,15423,5884
A5,5,84184,32798,14690,5447
A6,5,94728,36902,16390,6003
